Metadata_Source,Metadata_Plate,Metadata_Well,Metadata_JCP2022
source_4,BR00127145,A01,JCP2022_043547
source_4,BR00127145,A02,JCP2022_050797
source_4,BR00127145,A03,JCP2022_050997
source_4,BR00127145,A04,JCP2022_108326
source_4,BR00127145,A05,JCP2022_033924
source_4,BR00127145,A06,JCP2022_027911
source_4,BR00127145,A07,JCP2022_100264
source_4,BR00127145,A08,JCP2022_050861
source_4,BR00127145,A09,JCP2022_014367
source_4,BR00127145,A10,JCP2022_071429
source_4,BR00127145,A11,JCP2022_016288
source_4,BR00127145,A12,JCP2022_091373
source_4,BR00127145,A13,JCP2022_004940
source_4,BR00127145,A14,JCP2022_103217
source_4,BR00127145,A15,JCP2022_079562
source_4,BR00127145,A16,JCP2022_020163
source_4,BR00127145,A17,JCP2022_099471
source_4,BR00127145,A18,JCP2022_048971
source_4,BR00127145,A19,JCP2022_060649
source_4,BR00127145,A20,JCP2022_033924
source_4,BR00127145,A21,JCP2022_061421
source_4,BR00127145,A22,JCP2022_030713
source_4,BR00127145,A23,JCP2022_042261
source_4,BR00127145,A24,JCP2022_113600
source_4,BR00127145,B01,JCP2022_001890
source_4,BR00127145,B02,JCP2022_061654
source_4,BR00127145,B03,JCP2022_093289
source_4,BR00127145,B04,JCP2022_115963
source_4,BR00127145,B05,JCP2022_079617
source_4,BR00127145,B06,JCP2022_111730
source_4,BR00127145,B07,JCP2022_067887
source_4,BR00127145,B08,JCP2022_080150
source_4,BR00127145,B09,JCP2022_098688
source_4,BR00127145,B10,JCP2022_012146
source_4,BR00127145,B11,JCP2022_029951
source_4,BR00127145,B12,JCP2022_033924
source_4,BR00127145,B13,JCP2022_033924
source_4,BR00127145,B14,JCP2022_014114
source_4,BR00127145,B15,JCP2022_021678
source_4,BR00127145,B16,JCP2022_062326
source_4,BR00127145,B17,JCP2022_010382
source_4,BR00127145,B18,JCP2022_061437
source_4,BR00127145,B19,JCP2022_029365
source_4,BR00127145,B20,JCP2022_116188
source_4,BR00127145,B21,JCP2022_047559
source_4,BR00127145,B22,JCP2022_055397
source_4,BR00127145,B23,JCP2022_068660
source_4,BR00127145,B24,JCP2022_030049
source_4,BR00127145,C01,JCP2022_105456
source_4,BR00127145,C02,JCP2022_105621
source_4,BR00127145,C03,JCP2022_067432
source_4,BR00127145,C04,JCP2022_058046
source_4,BR00127145,C05,JCP2022_068838
source_4,BR00127145,C06,JCP2022_087474
source_4,BR00127145,C07,JCP2022_024601
source_4,BR00127145,C08,JCP2022_096865
source_4,BR00127145,C09,JCP2022_033924
source_4,BR00127145,C10,JCP2022_042332
source_4,BR00127145,C11,JCP2022_054601
source_4,BR00127145,C12,JCP2022_075930
source_4,BR00127145,C13,JCP2022_018899
